tiempo (s),t corr (s),tension CH1 (mv),tension CH2 (V)
0.134,1.3411E-02,11.2,-9.2
0.1342,1.3431E-02,12.8,-9.2
0.1344,1.3451E-02,12.8,-9.2
0.1346,1.3471E-02,12,-9
0.1348,1.3491E-02,10.4,-9.2
0.135,1.3511E-02,12,-9.2
0.1352,1.3531E-02,12.8,-9.2
0.1354,1.3551E-02,15.2,-9
0.1356,1.3571E-02,13.6,-9.2
0.1358,1.3591E-02,14.4,-9.2
0.136,1.3611E-02,14.4,-9
0.1362,1.3631E-02,15.2,-9.2
0.1364,1.3651E-02,14.4,-9.2
0.1366,1.3671E-02,13.6,-9.2
0.1368,1.3691E-02,14.4,-9
0.137,1.3711E-02,15.2,-9
0.1372,1.3731E-02,13.6,-9
0.1374,1.3751E-02,12,-9
0.1376,1.3771E-02,12,-9.2
0.1378,1.3791E-02,12,-9
0.138,1.3811E-02,11.2,-9.2
0.1382,1.3831E-02,11.2,-9.2
0.1384,1.3851E-02,10.4,-9.2
0.1386,1.3871E-02,10.4,-9.2
0.1388,1.3891E-02,9.6,-9.2
0.139,1.3911E-02,10.4,-9.2
0.1392,1.3931E-02,9.6,-9.2
0.1394,1.3951E-02,9.6,-9.2
0.1396,1.3971E-02,8,-9
0.1398,1.3991E-02,10.4,-9.2
0.14,1.4011E-02,10.4,-9
0.1402,1.4031E-02,12,-9.2
0.1404,1.4051E-02,12,-9.2
0.1406,1.4071E-02,12.8,-9.2
0.1408,1.4091E-02,12.8,-9.2
0.141,1.4111E-02,17.6,-9.2
0.1412,1.4131E-02,14.4,-9.2
0.1414,1.4151E-02,12,-9.2
0.1416,1.4171E-02,16,-9
0.1418,1.4191E-02,14.4,-9.2
0.142,1.4211E-02,13.6,-9
0.1422,1.4231E-02,13.6,-9.2
0.1424,1.4251E-02,14.4,-9.2
0.1426,1.4271E-02,13.6,-9
0.1428,1.4291E-02,12.8,-9
0.143,1.4311E-02,14.4,-9
0.1432,1.4331E-02,13.6,-9.2
0.1434,1.4351E-02,12.8,-9.2
0.1436,1.4371E-02,12,-9.2
0.1438,1.4392E-02,12.8,-9.2
0.144,1.4412E-02,12,-9.2
0.1442,1.4432E-02,10.4,-9.2
0.1444,1.4452E-02,10.4,-9
0.1446,1.4472E-02,11.2,-8.8
0.1448,1.4492E-02,13.6,-9
0.145,1.4512E-02,12,-9.2
0.1452,1.4532E-02,12,-9
0.1454,1.4552E-02,12.8,-9
0.1456,1.4572E-02,12.8,-9
0.1458,1.4592E-02,13.6,-9.2
0.146,1.4612E-02,13.6,-9.2
0.1462,1.4632E-02,12.8,-9
0.1464,1.4652E-02,12.8,-9.2
0.1466,1.4672E-02,12.8,-9.2
0.1468,1.4692E-02,12,-9
0.147,1.4712E-02,11.2,-9.2
0.1472,1.4732E-02,10.4,-9.2
0.1474,1.4752E-02,10.4,-9
0.1476,1.4772E-02,11.2,-9.2
0.1478,1.4792E-02,12,-9.2
0.148,1.4812E-02,12,-9.2
0.1482,1.4832E-02,12,-9.2
0.1484,1.4852E-02,12,-9
0.1486,1.4872E-02,12,-9.2
0.1488,1.4892E-02,13.6,-9.2
0.149,1.4912E-02,13.6,-9.2
0.1492,1.4932E-02,13.6,-9.2
0.1494,1.4952E-02,12.8,-9
0.1496,1.4972E-02,12.8,-9.2
0.1498,1.4992E-02,13.6,-9.2
0.15,1.5012E-02,12.8,-9.2
0.1502,1.5032E-02,13.6,-9.2
0.1504,1.5052E-02,11.2,-9.2
0.1506,1.5072E-02,13.6,-9.2
0.1508,1.5092E-02,13.6,-9.2
0.151,1.5112E-02,12.8,-9.2
0.1512,1.5132E-02,12.8,-9.2
0.1514,1.5152E-02,13.6,-9.2
0.1516,1.5172E-02,11.2,-9.2
0.1518,1.5192E-02,12,-9.2
0.152,1.5212E-02,11.2,-9.2
0.1522,1.5232E-02,10.4,-9.2
0.1524,1.5252E-02,11.2,-9.2
0.1526,1.5272E-02,11.2,-9.2
0.1528,1.5292E-02,11.2,-9.2
0.153,1.5312E-02,10.4,-9.2
0.1532,1.5332E-02,11.2,-9.2
0.1534,1.5352E-02,11.2,-9.2
0.1536,1.5372E-02,11.2,-9
0.1538,1.5392E-02,12.8,-9.2
0.154,1.5412E-02,12,-9.2
0.1542,1.5432E-02,12.8,-9.2
0.1544,1.5452E-02,10.4,-9.2
0.1546,1.5472E-02,11.2,-9.2
0.1548,1.5492E-02,12,-9.2
0.155,1.5512E-02,11.2,-9.2
0.1552,1.5532E-02,11.2,-9
0.1554,1.5552E-02,11.2,-9.2
0.1556,1.5572E-02,10.4,-9.2
0.1558,1.5592E-02,10.4,-9.2
0.156,1.5612E-02,9.6,-9.2
0.1562,1.5633E-02,10.4,-9.2
0.1564,1.5653E-02,8.8,-9.2
0.1566,1.5673E-02,8.8,-9
0.1568,1.5693E-02,9.6,-9.2
0.157,1.5713E-02,12,-9.2
0.1572,1.5733E-02,11.2,-9.2
0.1574,1.5753E-02,13.6,-9
0.1576,1.5773E-02,12.8,-9.2
0.1578,1.5793E-02,12,-9.2
0.158,1.5813E-02,12.8,-9
0.1582,1.5833E-02,8.8,-9
0.1584,1.5853E-02,12,-9
0.1586,1.5873E-02,12.8,-9.2
0.1588,1.5893E-02,11.2,-9
0.159,1.5913E-02,12.8,-9.2
0.1592,1.5933E-02,11.2,-9.2
0.1594,1.5953E-02,12,-9.2
0.1596,1.5973E-02,11.2,-9
0.1598,1.5993E-02,12,-9.2
0.16,1.6013E-02,10.4,-9.2
0.1602,1.6033E-02,11.2,-9.2
0.1604,1.6053E-02,11.2,-9.2
0.1606,1.6073E-02,10.4,-9
0.1608,1.6093E-02,11.2,-9
0.161,1.6113E-02,11.2,-9
0.1612,1.6133E-02,12,-9
0.1614,1.6153E-02,12,-9
0.1616,1.6173E-02,13.6,-9.2
0.1618,1.6193E-02,12,-9
0.162,1.6213E-02,12,-9.2
0.1622,1.6233E-02,12,-9.2
0.1624,1.6253E-02,12,-9.2
0.1626,1.6273E-02,12.8,-9.2
0.1628,1.6293E-02,13.6,-9.2
0.163,1.6313E-02,12.8,-9
0.1632,1.6333E-02,13.6,-9
0.1634,1.6353E-02,12.8,-9
0.1636,1.6373E-02,13.6,-9.2
0.1638,1.6393E-02,13.6,-9
0.164,1.6413E-02,12,-9.2
0.1642,1.6433E-02,13.6,-9.2
0.1644,1.6453E-02,11.2,-9.2
0.1646,1.6473E-02,11.2,-9.2
0.1648,1.6493E-02,11.2,-9.2
0.165,1.6513E-02,12.8,-9.2
0.1652,1.6533E-02,11.2,-9.2
0.1654,1.6553E-02,12,-9
0.1656,1.6573E-02,12.8,-9.2
0.1658,1.6593E-02,11.2,-9
0.166,1.6613E-02,12.8,-9
0.1662,1.6633E-02,12.8,-9.2
0.1664,1.6653E-02,12.8,-9.2
0.1666,1.6673E-02,13.6,-9.2
0.1668,1.6693E-02,13.6,-9
0.167,1.6713E-02,12.8,-9
0.1672,1.6733E-02,21.6,-9
0.1674,1.6753E-02,12.8,-9.2
0.1676,1.6773E-02,12.8,-9
0.1678,1.6793E-02,13.6,-9.2
0.168,1.6813E-02,11.2,-9
0.1682,1.6833E-02,11.2,-9.2
0.1684,1.6853E-02,11.2,-9
0.1686,1.6873E-02,11.2,-9.2
0.1688,1.6894E-02,10.4,-9
0.169,1.6914E-02,12,-9
0.1692,1.6934E-02,12,-9.2
0.1694,1.6954E-02,12,-9.2
0.1696,1.6974E-02,12.8,-9.2
0.1698,1.6994E-02,12.8,-9
0.17,1.7014E-02,12.8,-9
0.1702,1.7034E-02,12,-9.2
0.1704,1.7054E-02,12.8,-9.2
0.1706,1.7074E-02,12.8,-9
0.1708,1.7094E-02,12,-9.2
0.171,1.7114E-02,12,-9.2
0.1712,1.7134E-02,14.4,-9.2
0.1714,1.7154E-02,12.8,-9
0.1716,1.7174E-02,13.6,-9
0.1718,1.7194E-02,12.8,-9
0.172,1.7214E-02,12,-9.2
0.1722,1.7234E-02,11.2,-9.2
0.1724,1.7254E-02,11.2,-9.2
0.1726,1.7274E-02,11.2,-9.2
0.1728,1.7294E-02,10.4,-9.2
0.173,1.7314E-02,10.4,-9.2
0.1732,1.7334E-02,10.4,-9
0.1734,1.7354E-02,9.6,-9
0.1736,1.7374E-02,10.4,-9.2
0.1738,1.7394E-02,11.2,-9
0.174,1.7414E-02,12,-9.2
0.1742,1.7434E-02,11.2,-9.2
0.1744,1.7454E-02,7.2,-9.2
0.1746,1.7474E-02,9.6,-9
0.1748,1.7494E-02,16.8,-9.2
0.175,1.7514E-02,11.2,-9.2
0.1752,1.7534E-02,11.2,-9.2
0.1754,1.7554E-02,11.2,-9.2
0.1756,1.7574E-02,12,-9
0.1758,1.7594E-02,12,-9
0.176,1.7614E-02,12,-9.2
0.1762,1.7634E-02,12.8,-9.2
0.1764,1.7654E-02,12.8,-9.2
0.1766,1.7674E-02,12.8,-9.2
0.1768,1.7694E-02,12.8,-9
0.177,1.7714E-02,12.8,-9.2
0.1772,1.7734E-02,13.6,-9.2
0.1774,1.7754E-02,12.8,-9
0.1776,1.7774E-02,11.2,-9.2
0.1778,1.7794E-02,12,-9.2
0.178,1.7814E-02,10.4,-9.2
0.1782,1.7834E-02,10.4,-9.2
0.1784,1.7854E-02,10.4,-9
0.1786,1.7874E-02,11.2,-9
0.1788,1.7894E-02,12,-9
0.179,1.7914E-02,10.4,-9.2
0.1792,1.7934E-02,10.4,-9
0.1794,1.7954E-02,10.4,-9.2
0.1796,1.7974E-02,10.4,-9
0.1798,1.7994E-02,9.6,-9.2
0.18,1.8014E-02,10.4,-9.2
0.1802,1.8034E-02,11.2,-9.2
0.1804,1.8054E-02,12,-9
0.1806,1.8074E-02,12.8,-9.2
0.1808,1.8094E-02,12,-9
0.181,1.8114E-02,12.8,-9.2
0.1812,1.8135E-02,11.2,-9
0.1814,1.8155E-02,12.8,-9.2
0.1816,1.8175E-02,12.8,-9.2
0.1818,1.8195E-02,12,-9
0.182,1.8215E-02,11.2,-9.2
0.1822,1.8235E-02,10.4,-9.2
0.1824,1.8255E-02,10.4,-9.2
0.1826,1.8275E-02,11.2,-9.2
0.1828,1.8295E-02,12,-9.2
0.183,1.8315E-02,10.4,-9
0.1832,1.8335E-02,11.2,-9.2
0.1834,1.8355E-02,10.4,-9.2
0.1836,1.8375E-02,9.6,-9.2
0.1838,1.8395E-02,12,-9.2
0.184,1.8415E-02,11.2,-9
0.1842,1.8435E-02,12,-9.2
0.1844,1.8455E-02,11.2,-9
0.1846,1.8475E-02,12,-9
0.1848,1.8495E-02,12,-9
0.185,1.8515E-02,13.6,-9
0.1852,1.8535E-02,13.6,-9.2
0.1854,1.8555E-02,13.6,-9.2
0.1856,1.8575E-02,12,-9.2
0.1858,1.8595E-02,12.8,-9
0.186,1.8615E-02,12.8,-9.2
0.1862,1.8635E-02,13.6,-9.2
0.1864,1.8655E-02,12.8,-9.2
0.1866,1.8675E-02,12,-9.2
0.1868,1.8695E-02,13.6,-9
0.187,1.8715E-02,11.2,-9.2
0.1872,1.8735E-02,12.8,-9.2
0.1874,1.8755E-02,11.2,-9
0.1876,1.8775E-02,12,-9.2
0.1878,1.8795E-02,12,-9.2
0.188,1.8815E-02,12,-9.2
0.1882,1.8835E-02,12,-9
0.1884,1.8855E-02,13.6,-9.2
0.1886,1.8875E-02,12.8,-9.2
0.1888,1.8895E-02,12.8,-9.2
0.189,1.8915E-02,12.8,-9
0.1892,1.8935E-02,12,-9
0.1894,1.8955E-02,13.6,-9
0.1896,1.8975E-02,13.6,-9
0.1898,1.8995E-02,11.2,-9
0.19,1.9015E-02,12.8,-9.2
0.1902,1.9035E-02,12,-9.2
0.1904,1.9055E-02,12.8,-9.2
0.1906,1.9075E-02,11.2,-9.2
0.1908,1.9095E-02,12.8,-9.2
0.191,1.9115E-02,11.2,-9
0.1912,1.9135E-02,12.8,-9.2
0.1914,1.9155E-02,12,-9.2
0.1916,1.9175E-02,10.4,-9.2
0.1918,1.9195E-02,11.2,-9.2
0.192,1.9215E-02,11.2,-9
0.1922,1.9235E-02,12,-9.2
0.1924,1.9255E-02,10.4,-9
0.1926,1.9275E-02,10.4,-9.2
0.1928,1.9295E-02,11.2,-9
0.193,1.9315E-02,11.2,-9
0.1932,1.9335E-02,11.2,-9
0.1934,1.9355E-02,12,-9
0.1936,1.9376E-02,12,-9
0.1938,1.9396E-02,13.6,-9
0.194,1.9416E-02,13.6,-9.2
0.1942,1.9436E-02,15.2,-9.2
0.1944,1.9456E-02,13.6,-9.2
0.1946,1.9476E-02,14.4,-9.2
0.1948,1.9496E-02,13.6,-9.2
0.195,1.9516E-02,13.6,-9.2
0.1952,1.9536E-02,12.8,-9
0.1954,1.9556E-02,12.8,-9.2
0.1956,1.9576E-02,11.2,-9.2
0.1958,1.9596E-02,12,-9.2
0.196,1.9616E-02,11.2,-9.2
0.1962,1.9636E-02,12.8,-9
0.1964,1.9656E-02,11.2,-9.2
0.1966,1.9676E-02,11.2,-9.2
0.1968,1.9696E-02,10.4,-9.2
0.197,1.9716E-02,12.8,-9.2
0.1972,1.9736E-02,11.2,-9
0.1974,1.9756E-02,11.2,-9.2
0.1976,1.9776E-02,11.2,-9.2
0.1978,1.9796E-02,12.8,-9.2
0.198,1.9816E-02,12.8,-9
0.1982,1.9836E-02,11.2,-9.2
0.1984,1.9856E-02,12.8,-9.2
0.1986,1.9876E-02,12,-9
0.1988,1.9896E-02,12,-9.2
0.199,1.9916E-02,11.2,-9.2
0.1992,1.9936E-02,12.8,-9.2
0.1994,1.9956E-02,12,-9.2
0.1996,1.9976E-02,12,-9.2
0.1998,1.9996E-02,12,-9.2
0.2,2.0016E-02,12,-9.2
0.2002,2.0036E-02,11.2,-9.2
0.2004,2.0056E-02,12,-9
0.2006,2.0076E-02,11.2,-9.2
0.2008,2.0096E-02,12,-9.2
0.201,2.0116E-02,11.2,-9.2
0.2012,2.0136E-02,13.6,-9.2
0.2014,2.0156E-02,12.8,-9.2
0.2016,2.0176E-02,11.2,-9.2
0.2018,2.0196E-02,12.8,-9.2
0.202,2.0216E-02,12,-9.2
0.2022,2.0236E-02,11.2,-9
0.2024,2.0256E-02,11.2,-9.2
0.2026,2.0276E-02,12.8,-9.2
0.2028,2.0296E-02,12,-9
0.203,2.0316E-02,11.2,-9.2
0.2032,2.0336E-02,12,-9
0.2034,2.0356E-02,12.8,-9
0.2036,2.0376E-02,12.8,-9
0.2038,2.0396E-02,12,-9.2
0.204,2.0416E-02,12,-9
0.2042,2.0436E-02,11.2,-9
0.2044,2.0456E-02,12,-9.2
0.2046,2.0476E-02,12.8,-9
0.2048,2.0496E-02,12.8,-9.2
0.205,2.0516E-02,13.6,-9
0.2052,2.0536E-02,13.6,-9.2
0.2054,2.0556E-02,13.6,-9.2
0.2056,2.0576E-02,13.6,-9
0.2058,2.0596E-02,14.4,-9.2
0.206,2.0616E-02,13.6,-9.2
0.2062,2.0637E-02,12.8,-9.2
0.2064,2.0657E-02,13.6,-9
0.2066,2.0677E-02,12.8,-9.2
0.2068,2.0697E-02,12,-9.2
0.207,2.0717E-02,13.6,-9
0.2072,2.0737E-02,12,-9.2
0.2074,2.0757E-02,12.8,-9.2
0.2076,2.0777E-02,12,-9.2
0.2078,2.0797E-02,11.2,-9
0.208,2.0817E-02,13.6,-9
0.2082,2.0837E-02,11.2,-9.2
0.2084,2.0857E-02,12.8,-9
0.2086,2.0877E-02,12,-9.2
0.2088,2.0897E-02,12.8,-9
0.209,2.0917E-02,12,-9
0.2092,2.0937E-02,14.4,-9.2
0.2094,2.0957E-02,12.8,-9.2
0.2096,2.0977E-02,13.6,-9.2
0.2098,2.0997E-02,13.6,-9.2
0.21,2.1017E-02,14.4,-9.2
0.2102,2.1037E-02,12,-9
0.2104,2.1057E-02,12.8,-9
0.2106,2.1077E-02,12.8,-9
0.2108,2.1097E-02,12.8,-9
0.211,2.1117E-02,12,-9
0.2112,2.1137E-02,12,-9.2
0.2114,2.1157E-02,12,-9
0.2116,2.1177E-02,12.8,-9.2
0.2118,2.1197E-02,12.8,-9.2
0.212,2.1217E-02,12.8,-9.2
0.2122,2.1237E-02,12,-9
0.2124,2.1257E-02,12,-9.2
0.2126,2.1277E-02,12,-3.6
0.2128,2.1297E-02,11.2,-3.6
0.213,2.1317E-02,12,-3.6
0.2132,2.1337E-02,12.8,-3.4
0.2134,2.1357E-02,12.8,-3.4
0.2136,2.1377E-02,12,-3.6
0.2138,2.1397E-02,13.6,-3.6
0.214,2.1417E-02,13.6,-3.6
0.2142,2.1437E-02,13.6,-3.4
0.2144,2.1457E-02,13.6,-3.4
0.2146,2.1477E-02,12.8,-3.6
0.2148,2.1497E-02,13.6,-3.4
0.215,2.1517E-02,13.6,-3.4
0.2152,2.1537E-02,13.6,-3.6
0.2154,2.1557E-02,13.6,-3.4
0.2156,2.1577E-02,12.8,-3.6
0.2158,2.1597E-02,12,-3.4
0.216,2.1617E-02,11.2,-3.4
0.2162,2.1637E-02,12,-3.4
0.2164,2.1657E-02,10.4,-3.6
0.2166,2.1677E-02,11.2,-3.6
0.2168,2.1697E-02,12,-3.6
0.217,2.1717E-02,10.4,-3.4
0.2172,2.1737E-02,12,-3.4
0.2174,2.1757E-02,12,-3.6
0.2176,2.1777E-02,11.2,-3.6
0.2178,2.1797E-02,12,-3.6
0.218,2.1817E-02,12,-3.6
0.2182,2.1837E-02,12,-3.6
0.2184,2.1857E-02,12,-3.6
0.2186,2.1878E-02,12.8,-3.8
0.2188,2.1898E-02,12.8,-3.6
0.219,2.1918E-02,13.6,-3.6
0.2192,2.1938E-02,12.8,-3.8
0.2194,2.1958E-02,13.6,-3.8
0.2196,2.1978E-02,13.6,-3.6
0.2198,2.1998E-02,13.6,-3.8
0.22,2.2018E-02,13.6,-3.6
0.2202,2.2038E-02,13.6,-3.8
0.2204,2.2058E-02,14.4,-3.8
0.2206,2.2078E-02,12.8,-4
0.2208,2.2098E-02,12.8,-3.6
0.221,2.2118E-02,12.8,-3.6
0.2212,2.2138E-02,12.8,-3.8
0.2214,2.2158E-02,15.2,-3.8
0.2216,2.2178E-02,12.8,-3.8
0.2218,2.2198E-02,11.2,-3.6
0.222,2.2218E-02,10.4,-3.6
0.2222,2.2238E-02,12,-3.8
0.2224,2.2258E-02,12,-3.8
0.2226,2.2278E-02,9.6,-3.8
0.2228,2.2298E-02,11.2,-3.6
0.223,2.2318E-02,11.2,-3.8
0.2232,2.2338E-02,12,-3.8
0.2234,2.2358E-02,12,-3.8
0.2236,2.2378E-02,11.2,-3.6
0.2238,2.2398E-02,12,-3.8
0.224,2.2418E-02,11.2,-3.8
0.2242,2.2438E-02,12.8,-3.8
0.2244,2.2458E-02,13.6,-3.6
0.2246,2.2478E-02,13.6,-3.6
0.2248,2.2498E-02,14.4,-3.6
0.225,2.2518E-02,12.8,-3.8
0.2252,2.2538E-02,13.6,-3.8
0.2254,2.2558E-02,12,-3.8
0.2256,2.2578E-02,12.8,-3.6
0.2258,2.2598E-02,12,-3.8
0.226,2.2618E-02,12,-3.6
0.2262,2.2638E-02,12,-3.8
0.2264,2.2658E-02,11.2,-3.6
0.2266,2.2678E-02,12,-3.6
0.2268,2.2698E-02,12,-3.4
0.227,2.2718E-02,11.2,-3.6
0.2272,2.2738E-02,11.2,-3.6
0.2274,2.2758E-02,12,-3.6
0.2276,2.2778E-02,8,-3.8
0.2278,2.2798E-02,-2.4,-3.6
0.228,2.2818E-02,-17.6,-3.4
0.2282,2.2838E-02,-32.8,-3.6
0.2284,2.2858E-02,-47.2,-3.4
0.2286,2.2878E-02,-60,-3.6
0.2288,2.2898E-02,-64.8,-3.4
0.229,2.2918E-02,-67.2,-3.6
0.2292,2.2938E-02,-67.2,-3.6
0.2294,2.2958E-02,-61.6,-3.6
0.2296,2.2978E-02,-51.2,-3.4
0.2298,2.2998E-02,-36.8,-3.6
0.23,2.3018E-02,-25.6,-3.6
0.2302,2.3038E-02,-16.8,-3.6
0.2304,2.3058E-02,-9.6,-3.6
0.2306,2.3078E-02,-2.4,-3.6
0.2308,2.3098E-02,1.6,-3.8
0.231,2.3118E-02,1.6,-3.6
0.2312,2.3139E-02,4.8,-3.6
0.2314,2.3159E-02,7.2,-3.6
0.2316,2.3179E-02,11.2,-3.6
0.2318,2.3199E-02,16.8,-3.8
0.232,2.3219E-02,23.2,-3.6
0.2322,2.3239E-02,32.8,-3.6
0.2324,2.3259E-02,41.6,-3.6
0.2326,2.3279E-02,51.2,-3.8
0.2328,2.3299E-02,56,-3.6
0.233,2.3319E-02,61.6,-3.6
0.2332,2.3339E-02,65.6,-3.6
0.2334,2.3359E-02,68,-3.6
0.2336,2.3379E-02,69.6,-3.6
0.2338,2.3399E-02,67.2,-3.6
0.234,2.3419E-02,66.4,-3.6
0.2342,2.3439E-02,62.4,-3.6
0.2344,2.3459E-02,63.2,-3.6
0.2346,2.3479E-02,63.2,-3.6
0.2348,2.3499E-02,66.4,-3.6
0.235,2.3519E-02,67.2,-3.6
0.2352,2.3539E-02,66.4,-3.6
0.2354,2.3559E-02,67.2,-3.6
0.2356,2.3579E-02,68,-3.6
0.2358,2.3599E-02,67.2,-3.6
0.236,2.3619E-02,63.2,-3.6
0.2362,2.3639E-02,60,-3.8
0.2364,2.3659E-02,53.6,-3.6
0.2366,2.3679E-02,47.2,-3.6
0.2368,2.3699E-02,44,-3.6
0.237,2.3719E-02,40.8,-3.8
0.2372,2.3739E-02,36.8,-3.4
0.2374,2.3759E-02,32.8,-3.8
0.2376,2.3779E-02,27.2,-3.8
0.2378,2.3799E-02,25.6,-3.6
0.238,2.3819E-02,23.2,-3.8
0.2382,2.3839E-02,20.8,-3.6
0.2384,2.3859E-02,18.4,-3.6
0.2386,2.3879E-02,12.8,-3.6
0.2388,2.3899E-02,6.4,-3.6
0.239,2.3919E-02,2.4,-3.6
0.2392,2.3939E-02,-8.8,-3.6
0.2394,2.3959E-02,-24,-3.6
0.2396,2.3979E-02,-42.4,-3.6
0.2398,2.3999E-02,-58.4,-3.6
0.24,2.4019E-02,-71.2,-3.4
0.2402,2.4039E-02,-77.6,-3.6
0.2404,2.4059E-02,-77.6,-3.6
0.2406,2.4079E-02,-76.8,-3.4
0.2408,2.4099E-02,-70.4,-3.6
0.241,2.4119E-02,-62.4,-3.6
0.2412,2.4139E-02,-52.8,-3.4
0.2414,2.4159E-02,-39.2,-3.6
0.2416,2.4179E-02,-28.8,-3.8
0.2418,2.4199E-02,-20,-3.6
0.242,2.4219E-02,-13.6,-3.6
0.2422,2.4239E-02,-9.6,-3.6
0.2424,2.4259E-02,-11.2,-3.6
0.2426,2.4279E-02,-12,-3.6
0.2428,2.4299E-02,-5.6,-3.6
0.243,2.4319E-02,0,-3.8
0.2432,2.4339E-02,6.4,-3.6
0.2434,2.4359E-02,15.2,-3.6
0.2436,2.4380E-02,24.8,-3.6
0.2438,2.4400E-02,32,-3.6
0.244,2.4420E-02,38.4,-3.6
0.2442,2.4440E-02,45.6,-3.6
0.2444,2.4460E-02,52,-3.8
0.2446,2.4480E-02,57.6,-3.6
0.2448,2.4500E-02,59.2,-3.6
0.245,2.4520E-02,58.4,-3.6
0.2452,2.4540E-02,56,-3.6
0.2454,2.4560E-02,55.2,-3.6
0.2456,2.4580E-02,52.8,-3.8
0.2458,2.4600E-02,53.6,-3.6
0.246,2.4620E-02,55.2,-3.6
0.2462,2.4640E-02,57.6,-3.6
0.2464,2.4660E-02,59.2,-3.6
0.2466,2.4680E-02,57.6,-3.8
0.2468,2.4700E-02,60,-3.6
0.247,2.4720E-02,58.4,-3.6
0.2472,2.4740E-02,57.6,-3.6
0.2474,2.4760E-02,56,-3.8
0.2476,2.4780E-02,53.6,-3.6
0.2478,2.4800E-02,46.4,-3.6
0.248,2.4820E-02,44,-3.8
0.2482,2.4840E-02,40,-3.8
0.2484,2.4860E-02,38.4,-3.8
0.2486,2.4880E-02,34.4,-3.8
0.2488,2.4900E-02,31.2,-3.8
0.249,2.4920E-02,28.8,-3.8
0.2492,2.4940E-02,27.2,-3.6
0.2494,2.4960E-02,23.2,-3.6
0.2496,2.4980E-02,20,-3.6
0.2498,2.5000E-02,15.2,-3.6
0.25,2.5020E-02,11.2,-3.8
0.2502,2.5040E-02,8,-3.8
0.2504,2.5060E-02,3.2,-3.6
0.2506,2.5080E-02,-2.4,-3.8
0.2508,2.5100E-02,-8,-3.6
0.251,2.5120E-02,-12,-3.6
0.2512,2.5140E-02,-15.2,-3.6
0.2514,2.5160E-02,-16.8,-3.6
0.2516,2.5180E-02,-17.6,-3.4
0.2518,2.5200E-02,-17.6,-3.6
0.252,2.5220E-02,-18.4,-3.6
0.2522,2.5240E-02,-20,-3.4
0.2524,2.5260E-02,-20.8,-3.6
0.2526,2.5280E-02,-19.2,-3.6
0.2528,2.5300E-02,-16,-3.6
0.253,2.5320E-02,-14.4,-3.6
0.2532,2.5340E-02,-15.2,-3.6
0.2534,2.5360E-02,-16,-3.6
0.2536,2.5380E-02,-15.2,-3.6
0.2538,2.5400E-02,-12.8,-3.8
0.254,2.5420E-02,-10.4,-3.6
0.2542,2.5440E-02,-7.2,-3.4
0.2544,2.5460E-02,-4,-3.6
0.2546,2.5480E-02,-4,-3.6
0.2548,2.5500E-02,0,-3.6
0.255,2.5520E-02,3.2,-3.8
0.2552,2.5540E-02,6.4,-3.8
0.2554,2.5560E-02,8,-3.6
0.2556,2.5580E-02,4.8,-3.6
0.2558,2.5600E-02,11.2,-3.6
0.256,2.5620E-02,13.6,-3.6
0.2562,2.5641E-02,18.4,-3.6
0.2564,2.5661E-02,19.2,-3.8
0.2566,2.5681E-02,20.8,-3.6
0.2568,2.5701E-02,22.4,-3.6
0.257,2.5721E-02,23.2,-3.6
0.2572,2.5741E-02,26.4,-3.8
0.2574,2.5761E-02,29.6,-3.6
0.2576,2.5781E-02,32.8,-3.6
0.2578,2.5801E-02,33.6,-3.6
0.258,2.5821E-02,32,-3.8
0.2582,2.5841E-02,30.4,-3.6
0.2584,2.5861E-02,31.2,-3.8
0.2586,2.5881E-02,32.8,-3.6
0.2588,2.5901E-02,32.8,-3.6
0.259,2.5921E-02,32,-3.6
0.2592,2.5941E-02,30.4,-3.8
0.2594,2.5961E-02,28.8,-3.6
0.2596,2.5981E-02,27.2,-3.6
0.2598,2.6001E-02,28,-3.6
0.26,2.6021E-02,27.2,-3.6
0.2602,2.6041E-02,27.2,-3.4
0.2604,2.6061E-02,25.6,-3.6
0.2606,2.6081E-02,22.4,-3.6
0.2608,2.6101E-02,20,-3.6
0.261,2.6121E-02,17.6,-3.4
0.2612,2.6141E-02,15.2,-3.6
0.2614,2.6161E-02,15.2,-3.8
0.2616,2.6181E-02,13.6,-3.8
0.2618,2.6201E-02,11.2,-3.6
0.262,2.6221E-02,8.8,-3.6
0.2622,2.6241E-02,4.8,-3.6
0.2624,2.6261E-02,2.4,-3.6
0.2626,2.6281E-02,1.6,-3.6
0.2628,2.6301E-02,0,-3.6
0.263,2.6321E-02,-2.4,-3.8
0.2632,2.6341E-02,-4,-3.6
0.2634,2.6361E-02,-5.6,-3.6
0.2636,2.6381E-02,-8.8,-3.6
0.2638,2.6401E-02,-9.6,-3.6
0.264,2.6421E-02,-11.2,-3.8
0.2642,2.6441E-02,-11.2,-3.8
0.2644,2.6461E-02,-12.8,-3.6
0.2646,2.6481E-02,-13.6,-3.8
0.2648,2.6501E-02,-16,-3.6
0.265,2.6521E-02,-14.4,-3.6
0.2652,2.6541E-02,-16,-3.6
0.2654,2.6561E-02,-14.4,-3.6
0.2656,2.6581E-02,-14.4,-3.6
0.2658,2.6601E-02,-12,-3.6
0.266,2.6621E-02,-13.6,-3.6
0.2662,2.6641E-02,-11.2,-3.6
0.2664,2.6661E-02,-9.6,-3.6
0.2666,2.6681E-02,-8,-3.6
